12581,12126,12577,6420,1
11633,17029,14714,3581,1
11480,13604,11479,14845,1
12147,14180,4029,12144,1
7043,162,5483,5859,1
104,957,966,254,1
11479,11208,14845,11377,1
226,213,1786,17066,1
12275,2931,12257,12200,1
1019,4961,6303,17040,1
14845,13218,14777,16530,1
13067,2804,14821,16297,1
1056,17065,1096,1140,1
15727,8626,11667,9278,1
14111,596,11666,661,1
98,16667,2505,16665,1
13082,15739,15746,8182,1
3552,14079,7769,7813,1
1984,703,1967,1747,1
1252,1038,8652,3079,1
12592,3527,3578,7556,1
11030,11007,10995,7602,1
5846,5885,5468,5862,1
198,2702,8673,188,1
13543,2491,13545,2446,1
17065,1157,2017,17060,1
2418,13542,2177,2211,1
8389,5860,7890,7972,1
3446,10875,2774,3884,1
3798,2127,1856,3764,1
9386,8913,15727,15728,1
2563,14955,719,14938,1
4198,6233,14852,6197,1
3429,3459,12137,2045,1
287,6575,276,5152,1
12264,14846,12248,396,1
12135,10533,1993,1968,1
1095,4461,2635,17068,1
3767,17056,3756,17068,1
4625,16325,4647,4611,1
16764,12208,8431,6904,1
602,584,334,585,1
751,2742,2802,2820,1
1594,2393,16672,1610,1
2127,3798,15719,1734,1
15269,15664,4960,15957,1
13040,16343,16937,16935,1
10022,10322,14570,10211,1
4504,3297,9001,6095,1
999,16658,2808,2914,1
5302,1200,16954,2410,1
16646,9857,11837,11701,1
14456,12471,12498,15307,1
7402,382,2331,14569,1
3326,12142,2774,404,1
2001,17065,2016,1747,1
16862,16849,4504,16833,1
14549,17037,14846,396,1
15079,15055,15017,719,1
1576,11665,13261,1593,1
829,787,13546,13554,1
13374,411,3649,13360,1
16319,15517,12730,12825,1
2765,13544,11442,11443,1
11792,16644,11716,11821,1
8888,8613,4610,8595,1
1681,254,1706,1722,1
13105,14692,14019,11643,1
2803,2758,16647,2822,1
17067,364,119,377,1
3121,3114,3063,3082,1
15789,5615,5792,5814,1
1705,145,1049,3005,1
7040,7007,12139,7026,1
16920,6200,15641,11646,1
5328,1339,3106,13547,1
4553,3130,12208,4573,1
1979,373,17065,2002,1
2804,14047,13530,10516,1
2804,13069,16162,16300,1
13359,8609,14568,13373,1
2966,2944,2879,2863,1
17052,1046,3013,150,1
16017,14453,14440,14455,1
2094,12137,433,12135,1
10234,6023,1488,6073,1
8743,12269,14096,12219,1
9392,4329,16651,13076,1
4050,582,4092,2604,1
3940,5009,12921,12936,1
11361,11286,12868,11316,1
2151,2294,2280,14569,1
13042,16560,14509,13105,1
7242,2760,12169,4696,1
5594,5582,162,15171,1
2238,2191,13541,2253,1
3756,8943,3733,17068,1
179,215,17064,3655,1
1702,887,894,13547,1
2217,8652,586,1242,1
4815,4794,1220,17069,1
1685,90,1441,138,1
15720,3811,2849,6552,1
801,13554,810,5326,1
2278,2331,14569,7402,1
15308,10789,15312,10763,1
2944,2863,2914,1015,1
8148,8135,8115,8085,1
9252,9301,9264,4610,1
16297,2804,15274,10516,1
1485,1164,1551,1531,1
214,202,17064,179,1
15052,14881,9872,2563,1
547,2571,747,1443,1
2746,540,5980,2711,1
10540,11510,13544,13189,1
3652,223,3663,17064,1
16667,2421,914,901,1
