-4.125,-3.875,-3.5
-4.13710969661218,-3.875,-3.375
-4.125,-3.89357756899434,-3.375
-4.125,-3.75,-3.5
-4.19557662547053,-3.75,-3.375
-4.125,-3.625,-3.5
-4.22877458861318,-3.625,-3.375
-4.125,-3.5,-3.5
-4.23948372073641,-3.5,-3.375
-4.125,-3.375,-3.5
-4.22877458861318,-3.375,-3.375
-4.125,-3.25,-3.5
-4.19557662547053,-3.25,-3.375
-4.125,-3.125,-3.5
-4.13710969661218,-3.125,-3.375
-4.125,-3.10642243100566,-3.375
-4.125,3.125,-3.5
-4.13710969661218,3.125,-3.375
-4.125,3.10642243100566,-3.375
-4.125,3.25,-3.5
-4.19557662547053,3.25,-3.375
-4.125,3.375,-3.5
-4.22877458861318,3.375,-3.375
-4.125,3.5,-3.5
-4.23948372073641,3.5,-3.375
-4.125,3.625,-3.5
-4.22877458861318,3.625,-3.375
-4.125,3.75,-3.5
-4.19557662547053,3.75,-3.375
-4.125,3.875,-3.5
-4.13710969661218,3.875,-3.375
-4.125,3.89357756899434,-3.375
-4,-4,-3.5
-4.04337221016254,-4,-3.375
-4,-4.04337221016254,-3.375
-4,-3.875,-3.5
-4,-3.75,-3.5
-4,-3.625,-3.5
-4,-3.5,-3.5
-4,-3.375,-3.5
-4,-3.25,-3.5
-4,-3.125,-3.5
-4,-3,-3.5
-4.04337221016254,-3,-3.375
-4,-2.95662778983746,-3.375
-4,3,-3.5
-4.04337221016254,3,-3.375
-4,2.95662778983746,-3.375
-4,3.125,-3.5
-4,3.25,-3.5
-4,3.375,-3.5
-4,3.5,-3.5
-4,3.625,-3.5
-4,3.75,-3.5
-4,3.875,-3.5
-4,4,-3.5
-4.04337221016254,4,-3.375
-4,4.04337221016254,-3.375
-3.875,-4.125,-3.5
-3.89357756899434,-4.125,-3.375
-3.875,-4.13710969661218,-3.375
-3.875,-4,-3.5
-3.875,-3.875,-3.5
-3.875,-3.75,-3.5
-3.875,-3.625,-3.5
-3.875,-3.5,-3.5
-3.875,-3.375,-3.5
-3.875,-3.25,-3.5
-3.875,-3.125,-3.5
-3.875,-3,-3.5
-3.875,-2.875,-3.5
-3.89357756899434,-2.875,-3.375
-3.875,-2.86289030338782,-3.375
-3.875,2.875,-3.5
-3.89357756899434,2.875,-3.375
-3.875,2.86289030338782,-3.375
-3.875,3,-3.5
-3.875,3.125,-3.5
-3.875,3.25,-3.5
-3.875,3.375,-3.5
-3.875,3.5,-3.5
-3.875,3.625,-3.5
-3.875,3.75,-3.5
-3.875,3.875,-3.5
-3.875,4,-3.5
-3.875,4.125,-3.5
-3.89357756899434,4.125,-3.375
-3.875,4.13710969661218,-3.375
-3.75,-4.125,-3.5
-3.75,-4.19557662547053,-3.375
-3.75,-4,-3.5
-3.75,-3.875,-3.5
-3.75,-3.75,-3.5
-3.75,-3.625,-3.5
-3.75,-3.5,-3.5
-3.75,-3.375,-3.5
-3.75,-3.25,-3.5
-3.75,-3.125,-3.5
-3.75,-3,-3.5
-3.75,-2.875,-3.5
-3.75,-2.80442337452947,-3.375
-3.75,2.875,-3.5
-3.75,2.80442337452947,-3.375
-3.75,3,-3.5
-3.75,3.125,-3.5
-3.75,3.25,-3.5
-3.75,3.375,-3.5
-3.75,3.5,-3.5
-3.75,3.625,-3.5
-3.75,3.75,-3.5
-3.75,3.875,-3.5
-3.75,4,-3.5
-3.75,4.125,-3.5
-3.75,4.19557662547053,-3.375
-3.625,-4.125,-3.5
-3.625,-4.22877458861318,-3.375
-3.625,-4,-3.5
-3.625,-3.875,-3.5
-3.625,-3.75,-3.5
-3.625,-3.625,-3.5
-3.625,-3.5,-3.5
-3.625,-3.375,-3.5
-3.625,-3.25,-3.5
-3.625,-3.125,-3.5
-3.625,-3,-3.5
-3.625,-2.875,-3.5
-3.625,-2.77122541138682,-3.375
-3.625,2.875,-3.5
-3.625,2.77122541138682,-3.375
-3.625,3,-3.5
-3.625,3.125,-3.5
-3.625,3.25,-3.5
-3.625,3.375,-3.5
-3.625,3.5,-3.5
-3.625,3.625,-3.5
-3.625,3.75,-3.5
-3.625,3.875,-3.5
-3.625,4,-3.5
-3.625,4.125,-3.5
-3.625,4.22877458861318,-3.375
-3.5,-4.125,-3.5
-3.5,-4.23948372073641,-3.375
-3.5,-4,-3.5
-3.5,-3.875,-3.5
-3.5,-3.75,-3.5
-3.5,-3.625,-3.5
-3.5,-3.5,-3.5
-3.5,-3.375,-3.5
-3.5,-3.25,-3.5
-3.5,-3.125,-3.5
-3.5,-3,-3.5
-3.5,-2.875,-3.5
-3.5,-2.76051627926359,-3.375
-3.5,2.875,-3.5
-3.5,2.76051627926359,-3.375
-3.5,3,-3.5
-3.5,3.125,-3.5
-3.5,3.25,-3.5
-3.5,3.375,-3.5
-3.5,3.5,-3.5
-3.5,3.625,-3.5
-3.5,3.75,-3.5
-3.5,3.875,-3.5
-3.5,4,-3.5
-3.5,4.125,-3.5
-3.5,4.23948372073641,-3.375
